timestamp,location,potentialEvapotranspiration
2010-09-12T00:00:00,Lower,5.8751999999999995
2010-09-13T00:00:00,Lower,6.1776
2010-09-14T00:00:00,Lower,6.6528
2010-09-15T00:00:00,Lower,6.264
2010-09-16T00:00:00,Lower,6.264
2010-09-17T00:00:00,Lower,5.4432
2010-09-18T00:00:00,Lower,6.1776
2010-09-19T00:00:00,Lower,6.696
2010-09-20T00:00:00,Lower,6.998399999999999
2010-09-21T00:00:00,Lower,6.7824
2010-09-22T00:00:00,Lower,6.8688
2010-09-23T00:00:00,Lower,6.4368
2010-09-24T00:00:00,Lower,6.0912
2010-09-25T00:00:00,Lower,6.6096
2010-09-26T00:00:00,Lower,5.4864
2010-09-27T00:00:00,Lower,6.3072
2010-09-28T00:00:00,Lower,5.961600000000001
2010-09-29T00:00:00,Lower,6.264
2010-09-30T00:00:00,Lower,7.128
2010-10-01T00:00:00,Lower,7.862399999999999
2010-10-02T00:00:00,Lower,8.2512
2010-10-03T00:00:00,Lower,7.171200000000001
2010-10-04T00:00:00,Lower,7.905600000000001
2010-10-05T00:00:00,Lower,7.862399999999999
2010-10-06T00:00:00,Lower,7.56
2010-10-07T00:00:00,Lower,8.1216
2010-10-08T00:00:00,Lower,9.1152
2010-10-09T00:00:00,Lower,8.2944
2010-10-10T00:00:00,Lower,8.64
2010-10-11T00:00:00,Lower,7.0847999999999995
2010-10-12T00:00:00,Lower,7.171200000000001
2010-10-13T00:00:00,Lower,7.516799999999999
2010-10-14T00:00:00,Lower,6.7824
2010-10-15T00:00:00,Lower,6.9552000000000005
2010-10-16T00:00:00,Lower,7.0847999999999995
2010-10-17T00:00:00,Lower,7.3008
2010-10-18T00:00:00,Lower,6.739199999999999
2010-10-19T00:00:00,Lower,6.3072
2010-10-20T00:00:00,Lower,6.7824
2010-10-21T00:00:00,Lower,6.739199999999999
2010-10-22T00:00:00,Lower,6.5232
2010-10-23T00:00:00,Lower,6.8256000000000006
2010-10-24T00:00:00,Lower,7.3008
2010-10-25T00:00:00,Lower,9.1584
2010-10-26T00:00:00,Lower,9.3744
2010-10-27T00:00:00,Lower,7.948799999999999
2010-10-28T00:00:00,Lower,7.2576
2010-10-29T00:00:00,Lower,8.7696
2010-10-30T00:00:00,Lower,8.208
